,Price,Price * 1.1,True Sales,Pred Demand,Approx Pred Demand,New Pred Demand,Approx New Pred Demand,Elasticity,opt_price
0,2626.27,2888.8970000000004,2,-1.166649617585911,-1,-1.1833413204874637,-1,0.14307382996526452,4660.169921875
1,2651.69398,2916.8633780000005,6,-1.0596959474182288,-1,-1.0765492367220695,-1,0.1590389143687949,4660.169921875
2,2774.575,3052.0325000000003,5,1.5421926676453843,2,1.524558387248442,2,-0.11434550796993628,4660.169921875
3,2795.76,3075.3360000000007,2,1.8024942271790598,2,1.7847253019337321,2,-0.0985796513375603,4660.169921875
4,2795.76,3075.3360000000007,1,-0.6246087223394525,-1,-0.6423776475847802,-1,0.2844809015598555,4660.169921875
5,2965.25,3261.775,2,2.0798194092435534,2,2.0609732616544516,2,-0.09061434615593014,4660.169921875
6,2772.4575,3049.70325,5,-0.011178751871413262,0,-0.028799574139185324,0,15.762781454012513,4660.169921875
7,2824.009967,3106.4109637,7,1.8518643849951149,2,1.8339159123094468,2,-0.09692109655057361,4660.169921875
8,2824.01,3106.4110000000005,7,2.582193781289024,3,2.5642453083936187,3,-0.06950862102396244,4660.169921875
9,2828.341089,3111.1751979,10,0.5300923527560153,1,0.5121163528923898,1,-0.33911071854113894,4660.169921875
10,2866.3833329999998,3153.0216663,7,4.673080910007693,5,4.654863126232072,5,-0.038984524613316036,4660.169921875
11,2672.96798,2940.264778,11,3.3331262964428445,3,3.3161377966360757,3,-0.05096866513848938,4660.169921875
12,2682.770938,2951.0480318000004,22,6.382254955951829,6,6.365204151788504,6,-0.026715955851034458,4660.169921875
13,2698.9114,2968.80254,8,12.233261370006264,12,12.216107982408486,12,-0.014021925207807038,4660.169921875
14,2711.02,2982.1220000000003,3,4.066834400044318,4,4.049604054192533,4,-0.04236795540924238,4660.169921875
15,2838.135,3121.9485000000004,3,0.23193048761507118,0,0.21389224089462822,0,-0.7777436638852137,4660.169921875
16,2965.25,3261.775,4,2.360885145233082,2,2.3420389976439804,2,-0.07982661768682157,4660.169921875
17,2965.25,3261.775,3,1.9276322255125713,2,1.9087860779234695,2,-0.09776837790772261,4660.169921875
18,2781.636667,3059.8003337000005,7,2.0339871046188813,2,2.0163079426036923,2,-0.08691875172188802,4660.169921875
19,2780.351827,3058.3870097000004,12,6.7770428105162175,7,6.759371814518825,7,-0.026074788800171132,4660.169921875
20,2477.96995,2725.7669450000003,3,6.7107331911936345,7,6.694984034326908,7,-0.0234686082996022,4660.169921875
21,2477.96995,2725.7669450000003,1,1.1677182746486334,1,1.1519691177819071,1,-0.1348712031715459,4660.169921875
22,2816.94495,3098.6394450000003,3,-0.33908793512562063,0,-0.35699150490154974,0,0.5279919431311066,4660.169921875
